2	Designator	Package	Quantity	Designation	Supplier and ref
3	R1 - R7	R_0603_1608Metric_Pad1.05x0.95mm_HandSolder	7	10k resistor	
4	U2	TO-220-3_Vertical	1	LM1117-3.3 voltage regulator	
5	C1, C4, C5	C_0603_1608Metric_Pad1.05x0.95mm_HandSolder	3	100n capacitor	
6	J3	KF141V-6P_P2.54mm	1	LED Strip connector – spring cage type.	
7	C2	CP_Radial_D10.0mm_P5.00mm_P7.50mm	1	1000u Polarized capacitor	
8	C3	C_0805_2012Metric_Pad1.15x1.40mm_HandSolder	1	10u capacitor (can be polarized)	
9	C6	CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder	1	100u capacitor	
10	D1	D_DO-15_P15.24mm_Horizontal	1	P6KE16A - TVS diode 16V	
11	D2	D_SMA-SMB_Universal_Handsoldering	1	Any surface mount diode	
12	F1	Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open	1	LED Strip Fuse – pick current = total current consumption of your strip + some headroom	
13	F2	C_Disc_D8.0mm_W2.5mm_P5.00mm	1	PTC 0.5A	
14	Q1, Q2, Q3, Q7, Q8	TO-92_HandSolder	5	NPN_EBC	
15	Q4, Q5, Q6, Q9, Q10	TO-220-3_Vertical	5	N type MOSFET – GDS(123) pinout	
16	RN1, RN2	R_Array_Convex_4x0603	2	10k resistor network	
17	U1	ESP-12	1	ESP-12F	
18	J1	PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical	1	12V input – any connector with 5.08mm. Spacing.	
19	JP1	PinHeader_1x02_P2.54mm_Vertical	1	PROG jumper	
20	J2	PinHeader_1x03_P2.54mm_Vertical	1	UART male connector	
21	J4	PinSocket_1x03_P2.54mm_Vertical	1	UART female connector	
